Airport Name,Latitude,Longitude,Frequency,Region_State,Region_Abbr.,City,ICAO,Fuel Types
Ted Stevens Anchorage International Airport,61.179004,-149.992561,113.15,Alaska,AK,Anchorage,PANC,3.0
Phoenix Sky Harbor International Airport,33.435302,-112.005905,115.6,Arizona,AZ,Phoenix,KPHX,3.0
Los Angeles International Airport,33.942501,-118.407997,113.6,California,CA,Los Angeles,KLAX,3.0
San Francisco International Airport,37.619806,-122.374821,115.8,California,CA,San Francisco,KSFO,3.0
San Diego International Airport,32.73360062,-117.1900024,117.0,California,CA,San Diego,KSAN,3.0
Norman Y. Mineta San Jose International Airport,37.362452,-121.929188,114.1,California,CA,San Jose,KSJC,3.0
San Francisco Bay Oakland International Airport,37.720085,-122.221184,116.8,California,CA,Oakland,KOAK,3.0
John Wayne Orange County International Airport,33.675701,-117.867996,117.2,California,CA,Santa Ana,KSNA,3.0
Sacramento International Airport,38.6954,-121.591003,109.2,California,CA,Sacramento,KSMF,3.0
Ontario International Airport,34.056,-117.600998,112.2,California,CA,Ontario,KONT,3.0
Denver International Airport,39.86169815,-104.6729965,114.7,Colorado,CO,Denver,KDEN,3.0
Bradley International Airport,41.93851,-72.688066,117.05,Connecticut,CT,Hartford,KBDL,3.0
Ronald Reagan Washington National Airport,38.8521,-77.037697,111.0,District of Columbia,DC,Washington,KDCA,3.0
Orlando International Airport,28.42939949,-81.30899811,112.2,Florida,FL,Orlando,KMCO,3.0
Miami International Airport,25.79319954,-80.29060364,113.9,Florida,FL,Miami,KMIA,3.0
Fort Lauderdale Hollywood International Airport,26.072599,-80.152702,114.4,Florida,FL,Fort Lauderdale,KFLL,3.0
Tampa International Airport,27.9755,-82.533203,111.0,Florida,FL,Tampa,KTPA,3.0
Jacksonville International Airport,30.492469,-81.687813,114.5,Florida,FL,Jacksonville,KJAX,3.0
Palm Beach International Airport,26.683201,-80.095596,115.7,Florida,FL,West Palm Beach,KPBI,3.0
Southwest Florida International Airport,26.53619957,-81.75520325,114.15,Florida,FL,Fort Myers,KRSW,3.0
Sarasota Bradenton International Airport,27.394631,-82.554359,117.0,Florida,FL,Sarasota/Bradenton,KSRQ,3.0
Orlando Sanford International Airport,28.77759933,-81.23750305,112.2,Florida,FL,Orlando,KSFB,3.0
Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,116.9,Georgia,GA,Atlanta,KATL,3.0
Savannah Hilton Head International Airport,32.127602,-81.202103,115.95,Georgia,GA,Savannah,KSAV,3.0
Daniel K Inouye International Airport,21.32062,-157.924228,114.8,Hawaii,HI,Honolulu,PHNL,3.0
Kahului International Airport,20.896263,-156.431837,115.1,Hawaii,HI,Kahului,PHOG,3.0
Chicago O'Hare International Airport,41.9786,-87.9048,108.25,Illinois,IL,Chicago,KORD,3.0
Chicago Midway International Airport,41.785999,-87.752403,108.25,Illinois,IL,Chicago,KMDW,3.0
Indianapolis International Airport,39.7173,-86.294403,116.3,Indiana,IN,Indianapolis,KIND,3.0
Cincinnati Northern Kentucky International Airport,39.048801,-84.667801,117.3,Kentucky,KY,Cincinnati / Covington,KCVG,3.0
Louisville Muhammad Ali International Airport,38.1744,-85.736,114.8,Kentucky,KY,Louisville,KSDF,3.0
Louis Armstrong New Orleans International Airport,29.993401,-90.258003,114.1,Louisiana,LA,New Orleans,KMSY,3.0
Portland International Jetport,43.646198,-70.309303,117.1,Maine,ME,Portland,KPWM,3.0
Baltimore/Washington International Thurgood Marshall Airport,39.1754,-76.668297,115.1,Maryland,MD,Baltimore,KBWI,3.0
Logan International Airport,42.36197,-71.0079,112.7,Massachusetts,MA,Boston,KBOS,3.0
Detroit Metropolitan Wayne County Airport,42.21377,-83.353786,113.4,Michigan,MI,Detroit,KDTW,3.0
Minneapolis Saint Paul International Airport ,44.880081,-93.221741,115.3,Minnesota,MN,Minneapolis,KMSP,3.0
St. Louis Lambert International Airport,38.748697,-90.370003,116.45,Missouri,MO,St Louis,KSTL,3.0
